task_name,start_date,end_date,duration,category,dependencies
Búsqueda de información sobre tecnología necesaria,2024-01-01,2024-01-31,30,research,[]
Tecnología de sensores,2024-01-15,2024-02-29,45,sensors,[]
Aplicación web,2024-02-01,2024-02-26,25,web,[]
Servicios REST,2024-02-15,2024-03-06,20,api,[]
Aplicación Android,2024-03-01,2024-03-31,30,mobile,[]
Búsqueda de bibliografía,2024-03-15,2024-03-30,15,research,[]
Desarrollo de los sensores (hardware),2024-04-01,2024-05-11,40,hardware,[]
Desarrollo de los sensores (hardware) - Fase 2,2024-04-20,2024-05-25,35,hardware,[]
Desarrollo software,2024-05-01,2024-06-30,60,software,[]
Sensores,2024-05-15,2024-06-14,30,sensors,[]
Diseño,2024-06-01,2024-06-26,25,design,[]
Implementación,2024-06-15,2024-07-20,35,implementation,[]
Aplicación web,2024-07-01,2024-08-15,45,web,[]
Diseño,2024-07-15,2024-08-04,20,design,[]
Implementación,2024-08-01,2024-08-31,30,implementation,[]
Implementación de servicios REST,2024-08-15,2024-09-09,25,api,[]
Aplicación Android,2024-09-01,2024-10-11,40,mobile,[]
Diseño,2024-09-15,2024-09-30,15,design,[]
Implementación,2024-10-01,2024-10-26,25,implementation,[]
Pruebas software,2024-10-15,2024-11-04,20,testing,[]
Corrección de posibles errores,2024-11-01,2024-11-16,15,testing,[]
Instalación de software,2024-11-10,2024-11-20,10,deployment,[]
Preparación del servidor,2024-11-15,2024-11-27,12,deployment,[]
Despliegue de aplicaciones,2024-11-20,2024-12-05,15,deployment,[]
Realización de la documentación,2024-12-01,2024-12-31,30,documentation,[]
Memoria,2024-12-15,2025-01-04,20,documentation,[]
Manuales,2024-12-20,2025-01-04,15,documentation,[]
